연번,경찰서,구분,살인,강도,성범죄,절도,폭력
1,중부,경찰서,3,2,30,583,565
2,동래,경찰서,2,1,99,922,1124
3,영도,경찰서,4,1,51,299,512
4,동부,경찰서,2,0,36,478,656
5,부산진,경찰서,2,5,256,2177,2614
6,서부,경찰서,1,2,30,414,625
7,남부,경찰서,4,6,161,1194,1638
8,해운대,경찰서,4,10,162,1238,1585
9,사상,경찰서,4,7,88,948,1070
10,금정,경찰서,5,2,69,778,793
11,사하,경찰서,4,2,80,907,1249
12,연제,경찰서,5,3,106,886,1382
13,강서,경찰서,0,3,40,356,537
14,북부,경찰서,5,7,79,926,1056
15,기장,경찰서,1,0,51,564,688
