연번,경찰서,구분,살인,강도,성범죄,절도,폭력
1,중부,경찰서,1,0,42,686,644
2,동래,경찰서,5,2,101,1018,1325
3,영도,경찰서,0,0,25,366,615
4,동부,경찰서,2,0,43,571,809
5,부산진,경찰서,3,9,295,2317,3166
6,서부,경찰서,1,1,22,458,581
7,남부,경찰서,7,4,152,1345,1952
8,해운대,경찰서,3,0,174,1336,1722
9,사상,경찰서,7,6,109,969,1420
10,금정,경찰서,2,2,81,943,979
11,사하,경찰서,6,0,98,1034,1447
12,연제,경찰서,5,7,110,1136,1635
13,강서,경찰서,3,3,35,443,516
14,북부,경찰서,5,4,80,1030,1435
15,기장,경찰서,1,1,49,517,810
